Bubble,Age,Score,Race,LogBubble
2,44,-1,Native American,0.301029996
10,44,-1,White,1
1,45,-1,Asian,0
6,45,-1,Black,0.77815125
0,45,-1,Multiple,#NUM!
1,45,-1,Native American,0
21,45,-1,White,1.322219295
1,46,-1,Asian,0
7,46,-1,Black,0.84509804
0,46,-1,Multiple,#NUM!
0,46,-1,Native American,#NUM!
12,46,-1,White,1.079181246
1,47,-1,Asian,0
3,47,-1,Black,0.477121255
0,47,-1,Multiple,#NUM!
0,47,-1,Native American,#NUM!
13,47,-1,White,1.113943352
0,48,-1,Asian,#NUM!
8,48,-1,Black,0.903089987
0,48,-1,Multiple,#NUM!
0,48,-1,Native American,#NUM!
13,48,-1,White,1.113943352
2,49,-1,Asian,0.301029996
5,49,-1,Black,0.698970004
1,49,-1,Multiple,0
0,49,-1,Native American,#NUM!
10,49,-1,White,1
0,50,-1,Asian,#NUM!
6,50,-1,Black,0.77815125
1,50,-1,Multiple,0
0,50,-1,Native American,#NUM!
23,50,-1,White,1.361727836
1,51,-1,Asian,0
5,51,-1,Black,0.698970004
0,51,-1,Multiple,#NUM!
2,51,-1,Native American,0.301029996
16,51,-1,White,1.204119983
3,52,-1,Asian,0.477121255
5,52,-1,Black,0.698970004
0,52,-1,Multiple,#NUM!
0,52,-1,Native American,#NUM!
19,52,-1,White,1.278753601
1,53,-1,Asian,0
8,53,-1,Black,0.903089987
0,53,-1,Multiple,#NUM!
1,53,-1,Native American,0
18,53,-1,White,1.255272505
1,54,-1,Asian,0
11,54,-1,Black,1.041392685
0,54,-1,Multiple,#NUM!
0,54,-1,Native American,#NUM!
15,54,-1,White,1.176091259
1,55,-1,Asian,0
8,55,-1,Black,0.903089987
0,55,-1,Multiple,#NUM!
0,55,-1,Native American,#NUM!
20,55,-1,White,1.301029996
3,56,-1,Asian,0.477121255
8,56,-1,Black,0.903089987
1,56,-1,Multiple,0
1,56,-1,Native American,0
23,56,-1,White,1.361727836
1,57,-1,Asian,0
5,57,-1,Black,0.698970004
1,57,-1,Multiple,0
2,57,-1,Native American,0.301029996
17,57,-1,White,1.230448921
0,58,-1,Asian,#NUM!
2,58,-1,Black,0.301029996
0,58,-1,Multiple,#NUM!
0,58,-1,Native American,#NUM!
17,58,-1,White,1.230448921
